287,AbGMnM,ExtremeGrMinAbs,Extreme Gr Minimum (Absolute),0.10,,,Degrees C,monthly
288,DEGRMN,DayofExtGrMin,Day of Extreme (Absolute) Ground Minimum,1.00,,,Unitless,monthly
289,DHGRMN,DayofHighestGrMn,Day of Highest Ground Minimum,1.00,,,Unitless,monthly
290,HTGRMN,Highest GroundMn,Highest Ground Minimum,0.10,,,Degrees C,monthly
294,CLMDly,Cloud Mn Daily,Mean Daily Cloud amount for the month,0.10,,,Octas,monthly
295,RadMnD,MeanDlyRadiation,Daily Mean Total radiation for the month,0.10,,,Megajoules/M**2,monthly
296,WETBMO,Temp WetBulb Mon,Mean wet bulb temperature for the month,0.10,,,Degrees C,monthly
297,WiSpMo,Wind Speed Month,Mean wind speed in the month  cup counter or anemog,0.10,,,Knots,monthly
298,VPDMnM,Mean Monthly VPD,Mean monthly VPD,0.10,,,Hectopascals,monthly
299,PreSta,Pressure Station,Monthly mean station level pressure,0.10,,,Hectopascals,monthly
301,PRESS,Pressure level,Pressure level,1.00,,,Hectopascals,monthly
302,HEIGHT,Height of press level,Height of pressure level,1.00,2000,0,Meters,monthly
303,TEMPDB,Temp at press level,Temperature at pressure level,0.10,500,-600,Degrees C,monthly
304,DPTDEP,Dew Pt Depress at press level,Dew point depression at pressure level,0.10,200,0,Degrees C,monthly
305,WNDDIR,Wind Direction at press level,Wind direction at pressure level,1.00,360,0,Degrees C,monthly
306,WNDSPD,Wind Speed at pressure leve,Wind speed at pressure level,1.00,300,0,Knots,monthly
399,PRESSTEND,PressTend  24hly,Pressure Tendancy  24 hly,0.10,100,-100,Hectopascals,monthly
401,MNMXTM,Temp  mean max,Temperature  10 day mean maximum daily,0.10,,,Degrees C,dekadal
402,MNMNTM,Temp  mean min,Temperature  10 day mean minimum daily,0.10,,,Degrees C,dekadal
403,MNTMP,Temp mean 10 day,Temperature  10 day mean,0.10,,,Degrees C,dekadal
404,XMXTMP,Temp Extreme Max,Temperature  extreme maximum 10 day temperature,0.10,,,Degrees C,dekadal
405,DMXTMP,Date of Extr Max,Date of the extreme maximum 10 day temperature,1.00,,,Unitless,dekadal
406,XMNTMP,Temp Extreme Min,Temperature  extreme minimum 10 day temperature,0.10,,,Degrees C,dekadal
